event_id,user_id,timestamp,action_type,item_id,product_type,eco_score,refurbished,delivery_type,used_green_toggle,session_id
63,447,2024-11-29 00:24:13,view,1075,Water Purifier,164.74,1,instant,0,session_447_72
64,273,2024-11-09 17:35:51,view,3861,Television,274.57,0,instant,0,session_273_91
65,427,2025-01-25 04:34:20,green_toggle,2101,Refrigerator,202.03,0,delayed,1,session_427_31
66,121,2024-07-27 05:59:49,refurbished_purchase,1680,Refrigerator,167.39,1,delayed,1,session_121_37
67,193,2024-09-02 02:48:11,view,867,Washing Machine,310.22,0,delayed,1,session_193_48
68,110,2024-08-23 00:10:42,refurbished_purchase,2648,Washing Machine,129.66,1,delayed,1,session_110_16
69,363,2024-11-21 16:37:48,view,1014,Mixer Grinder,114.53,0,instant,0,session_363_24
70,468,2024-01-08 16:30:49,view,4762,Television,182.7,0,delayed,0,session_468_10
71,60,2025-03-18 09:06:03,view,3809,Refrigerator,312.61,0,instant,0,session_60_7
72,481,2025-06-07 17:14:04,view,2340,Washing Machine,343.59,0,delayed,0,session_481_88
73,357,2024-09-26 09:25:33,view,4072,Mixer Grinder,52.12,0,instant,1,session_357_77
74,419,2024-05-24 10:46:09,view,4968,Air Conditioner,413.54,0,instant,0,session_419_61
75,358,2024-10-30 01:28:44,refurbished_purchase,3314,Fans,16.94,1,instant,1,session_358_54
76,482,2025-01-29 01:13:45,view,4566,Television,240.15,0,instant,1,session_482_99
77,279,2025-04-24 09:37:35,green_toggle,3896,Cooler,153.87,0,instant,1,session_279_79
78,116,2024-01-08 08:58:01,view,484,Washing Machine,309.9,0,instant,0,session_116_10
79,490,2024-02-25 09:44:57,view,35,Washing Machine,348.04,0,instant,0,session_490_33
80,213,2025-04-11 17:47:14,view,378,Fans,102.32,0,instant,0,session_213_60
81,355,2024-02-01 00:02:37,refurbished_purchase,3036,Geyser,58.24,1,instant,1,session_355_12
82,425,2024-08-04 12:32:40,green_toggle,549,Water Purifier,73.22,1,instant,1,session_425_6
83,113,2024-03-08 06:00:52,view,4775,Fans,120.26,0,instant,0,session_113_92
84,448,2025-05-11 04:00:37,green_toggle,3189,Water Purifier,145.16,0,instant,1,session_448_6
85,86,2024-10-09 07:02:32,normal_purchase,3504,Washing Machine,279.92,0,instant,0,session_86_2
86,297,2024-02-07 12:31:16,normal_purchase,294,Cooler,196.92,1,instant,0,session_297_49
87,227,2024-03-04 08:03:22,view,1983,Cooler,172.51,0,instant,0,session_227_49
88,480,2024-06-13 04:37:04,normal_purchase,4756,Washing Machine,369.29,0,instant,1,session_480_5
89,247,2024-01-19 17:58:06,view,32,Fans,89.02,0,instant,0,session_247_69
90,333,2024-12-29 14:41:09,normal_purchase,27,Gas Stove,194.73,0,instant,1,session_333_7
91,432,2024-03-05 20:37:19,view,3720,Washing Machine,321.34,1,instant,1,session_432_66
92,232,2024-03-07 21:14:20,normal_purchase,4126,Cooler,155.68,0,delayed,1,session_232_5
93,32,2024-06-11 15:57:33,normal_purchase,4032,Refrigerator,333.03,0,instant,0,session_32_99
94,396,2024-11-15 02:28:29,normal_purchase,4218,Geyser,123.29,0,instant,1,session_396_33
95,422,2024-07-16 11:22:46,refurbished_purchase,4029,Cooler,53.76,1,delayed,1,session_422_50
96,402,2024-11-12 10:24:53,view,1948,Mixer Grinder,72.49,0,instant,1,session_402_41
97,202,2024-03-27 14:12:05,green_toggle,288,Cooler,118.61,0,instant,1,session_202_15
98,47,2025-02-07 00:25:52,normal_purchase,3850,Television,309.75,0,instant,0,session_47_42
99,420,2024-09-27 16:28:05,refurbished_purchase,3293,Water Purifier,43.37,1,instant,1,session_420_12
100,499,2024-12-02 07:47:31,green_toggle,4167,Gas Stove,102.12,0,instant,1,session_499_71
101,443,2024-12-20 18:40:55,refurbished_purchase,3679,Mixer Grinder,22.78,1,delayed,1,session_443_89
102,45,2024-01-08 22:00:49,green_toggle,151,Air Conditioner,299.18,0,instant,1,session_45_86
103,109,2025-06-24 08:38:57,green_toggle,1456,Cooler,87.06,0,delayed,1,session_109_1
104,397,2024-02-11 01:37:41,refurbished_purchase,1118,Fans,15.81,1,instant,1,session_397_25
105,270,2025-03-26 22:31:33,view,842,Television,261.7,0,instant,0,session_270_65
106,27,2025-01-03 23:03:18,green_toggle,4252,Air Conditioner,313.12,0,delayed,1,session_27_98
107,4,2024-10-22 20:25:30,delayed_delivery,2725,Geyser,139.29,0,delayed,1,session_4_16
108,167,2024-08-20 01:53:42,green_toggle,1241,Refrigerator,198.08,1,instant,1,session_167_41
109,472,2024-12-25 21:41:17,view,2903,Gas Stove,144.52,0,instant,0,session_472_9
110,2,2024-08-10 19:28:53,refurbished_purchase,2091,Mixer Grinder,23.27,1,instant,1,session_2_85
111,52,2024-07-15 22:06:51,green_toggle,30,Fans,106.87,1,instant,1,session_52_53
112,75,2024-03-15 15:46:15,view,3831,Air Conditioner,364.68,1,instant,0,session_75_11
113,451,2025-06-07 00:33:10,delayed_delivery,4652,Air Conditioner,257.64,0,delayed,1,session_451_78
114,197,2025-02-08 22:00:31,view,2466,Television,228.09,1,instant,0,session_197_64
115,396,2024-08-07 16:48:10,refurbished_purchase,2830,Mixer Grinder,19.01,1,instant,1,session_396_21
116,499,2024-11-13 15:18:03,view,563,Cooler,119.31,0,instant,1,session_499_14
117,322,2025-03-09 07:36:24,view,1521,Television,216.35,0,instant,1,session_322_2
118,385,2025-02-26 12:24:37,delayed_delivery,4095,Washing Machine,244.19,0,delayed,1,session_385_78
119,382,2024-12-21 22:45:29,refurbished_purchase,3249,Washing Machine,136.27,1,delayed,1,session_382_62
120,242,2024-09-05 18:42:49,green_toggle,179,Fans,39.18,0,instant,1,session_242_23
121,6,2024-08-25 22:17:26,green_toggle,4122,Geyser,100.26,0,instant,1,session_6_91
122,355,2024-10-31 14:16:24,refurbished_purchase,3414,Air Conditioner,111.38,1,instant,1,session_355_93
123,35,2024-04-30 04:38:42,view,2494,Television,151.09,0,instant,1,session_35_60
124,113,2025-01-17 06:09:27,normal_purchase,2276,Refrigerator,397.83,1,delayed,0,session_113_92
125,397,2025-06-08 10:33:18,green_toggle,1040,Mixer Grinder,97.5,0,instant,1,session_397_49
126,192,2025-01-02 19:49:11,view,3313,Geyser,175.32,1,instant,0,session_192_39
127,26,2024-10-30 09:13:16,green_toggle,50,Refrigerator,234.7,0,instant,1,session_26_66
128,471,2024-09-22 12:56:38,view,1250,Water Purifier,143.38,1,instant,0,session_471_51
129,101,2024-03-20 01:01:07,refurbished_purchase,2866,Mixer Grinder,20.99,1,instant,1,session_101_64
130,19,2024-06-01 13:35:29,view,2317,Gas Stove,131.79,1,instant,1,session_19_47
131,316,2024-05-31 16:54:59,green_toggle,4858,Air Conditioner,359.41,1,delayed,1,session_316_10
132,195,2024-12-08 01:03:41,normal_purchase,1895,Mixer Grinder,164.09,1,delayed,1,session_195_49
133,233,2024-06-15 09:49:11,view,1662,Air Conditioner,430.48,0,instant,1,session_233_19
134,91,2024-08-20 07:10:45,view,854,Refrigerator,394.63,0,delayed,0,session_91_10
135,126,2024-05-25 04:15:04,green_toggle,3613,Television,176.96,0,delayed,1,session_126_32
136,270,2025-01-19 06:50:06,view,4062,Television,225.33,1,instant,0,session_270_95
137,441,2024-09-04 01:45:52,green_toggle,4860,Washing Machine,265.1,0,instant,1,session_441_69
138,51,2024-08-21 06:07:09,normal_purchase,3798,Washing Machine,345.42,1,instant,0,session_51_24
139,106,2025-06-29 19:17:27,view,600,Mixer Grinder,85.06,0,delayed,0,session_106_57
140,226,2024-03-20 07:22:19,normal_purchase,760,Gas Stove,170.72,1,instant,0,session_226_20
141,284,2024-10-24 09:48:01,view,1244,Air Conditioner,376.59,0,instant,1,session_284_32
142,5,2024-07-27 05:01:31,normal_purchase,3940,Air Conditioner,343.05,0,instant,0,session_5_41
143,326,2024-05-05 12:31:37,view,121,Cooler,175.83,0,instant,0,session_326_32
144,284,2024-10-22 09:46:03,view,1185,Air Conditioner,396.43,0,instant,0,session_284_97
145,166,2024-09-26 05:30:58,delayed_delivery,1344,Cooler,86.14,0,delayed,1,session_166_69
146,92,2025-05-27 21:24:58,view,1023,Fans,58.38,0,instant,1,session_92_26
147,494,2024-03-04 11:42:44,view,1430,Refrigerator,335.28,0,delayed,1,session_494_34
148,223,2024-09-17 08:47:16,normal_purchase,3230,Fans,137.33,0,instant,0,session_223_12
149,426,2024-10-24 00:38:01,view,3643,Fans,75.65,0,instant,1,session_426_21
150,174,2024-09-15 17:51:45,view,3108,Mixer Grinder,136.17,0,instant,0,session_174_99
151,272,2025-05-11 05:46:17,view,2508,Water Purifier,132.92,0,instant,1,session_272_72
152,156,2024-06-13 08:45:42,view,914,Air Conditioner,412.94,0,delayed,1,session_156_53
153,167,2025-06-18 18:44:18,refurbished_purchase,1472,Air Conditioner,167.94,1,instant,1,session_167_94
154,184,2024-01-13 14:26:58,delayed_delivery,1301,Cooler,52.46,0,delayed,1,session_184_63
155,3,2024-04-07 23:41:27,normal_purchase,4897,Washing Machine,333.87,1,instant,0,session_3_57
156,336,2024-10-16 16:24:49,refurbished_purchase,3435,Television,57.54,1,instant,1,session_336_19
157,323,2024-06-29 23:33:37,view,2689,Water Purifier,173.03,0,instant,0,session_323_71
158,154,2024-07-20 18:37:59,view,4183,Geyser,104.99,1,instant,0,session_154_95
159,186,2024-01-19 10:21:46,view,1306,Gas Stove,106.05,0,delayed,1,session_186_56
160,237,2024-07-29 22:30:17,view,2597,Mixer Grinder,99.26,0,instant,0,session_237_45
161,229,2024-12-21 23:22:08,view,4532,Fans,120.97,1,instant,1,session_229_69
162,157,2024-05-23 03:37:44,view,4808,Air Conditioner,421.01,0,instant,1,session_157_61
163,198,2024-08-02 20:29:31,refurbished_purchase,3630,Washing Machine,114.72,1,instant,1,session_198_99
164,157,2024-05-03 04:41:44,view,337,Geyser,113.81,0,instant,1,session_157_91
165,70,2024-05-24 23:11:39,delayed_delivery,4249,Air Conditioner,259.44,0,delayed,1,session_70_70
166,366,2024-02-25 02:21:22,view,4664,Washing Machine,325.4,1,instant,0,session_366_70
167,182,2024-11-11 22:41:16,normal_purchase,3053,Cooler,158.65,0,instant,0,session_182_40
168,45,2025-03-26 08:30:15,view,3694,Gas Stove,190.24,0,instant,0,session_45_37
169,49,2025-03-09 15:43:22,refurbished_purchase,3932,Gas Stove,56.21,1,instant,1,session_49_37
170,429,2024-08-31 03:49:47,refurbished_purchase,729,Television,66.03,1,instant,1,session_429_59
171,420,2025-06-26 21:32:41,green_toggle,1437,Air Conditioner,276.96,0,instant,1,session_420_9
172,388,2025-06-11 00:22:31,view,1804,Gas Stove,115.72,1,instant,0,session_388_99
173,49,2024-05-20 21:39:16,view,3129,Air Conditioner,371.81,1,instant,1,session_49_42
174,312,2024-10-09 17:33:20,delayed_delivery,1428,Television,104.9,0,delayed,1,session_312_84
175,6,2025-01-15 02:30:31,normal_purchase,1103,Washing Machine,259.66,1,instant,0,session_6_25
176,286,2025-06-28 22:57:46,view,765,Geyser,167.39,0,delayed,1,session_286_39
177,281,2024-01-09 13:34:49,green_toggle,290,Fans,55.53,0,delayed,1,session_281_85
178,46,2025-01-20 11:09:44,green_toggle,1278,Mixer Grinder,49.29,0,delayed,1,session_46_64
179,488,2025-06-04 01:42:39,normal_purchase,3254,Fans,79.53,0,delayed,1,session_488_13
180,84,2024-10-08 08:14:25,green_toggle,4881,Gas Stove,110.88,0,instant,1,session_84_13
181,258,2025-02-22 16:16:39,view,301,Geyser,125.73,0,instant,0,session_258_28
182,385,2024-06-03 10:11:44,normal_purchase,1271,Cooler,124.92,1,instant,0,session_385_94
183,66,2025-02-08 03:33:54,normal_purchase,2981,Air Conditioner,381.07,0,delayed,0,session_66_91
184,350,2024-02-11 19:36:30,green_toggle,1247,Geyser,138.83,1,instant,1,session_350_49
185,455,2024-04-28 09:43:48,refurbished_purchase,204,Gas Stove,43.24,1,instant,1,session_455_85
186,234,2025-04-05 18:37:38,green_toggle,2939,Television,120.7,0,instant,1,session_234_19
187,381,2024-02-04 10:35:21,green_toggle,3231,Refrigerator,218.47,0,delayed,1,session_381_45
188,194,2025-05-31 21:21:05,view,2732,Air Conditioner,397.23,1,instant,0,session_194_15
189,294,2024-08-28 18:27:31,view,4219,Geyser,100.92,0,instant,0,session_294_94
190,229,2025-02-03 23:44:19,green_toggle,2326,Washing Machine,186.88,0,instant,1,session_229_25
191,121,2025-06-28 16:23:06,view,3764,Air Conditioner,396.72,0,instant,1,session_121_98
192,17,2024-01-26 15:56:33,view,3714,Air Conditioner,351.89,0,instant,0,session_17_78
193,363,2025-06-24 23:16:16,view,4868,Gas Stove,178.5,0,instant,1,session_363_7
194,127,2024-03-11 17:36:45,green_toggle,2880,Fans,54.03,0,instant,1,session_127_64
195,5,2024-01-18 23:03:44,normal_purchase,2161,Fans,116.39,0,delayed,0,session_5_86
196,38,2024-12-06 22:12:35,refurbished_purchase,1548,Television,51.02,1,delayed,1,session_38_26
197,33,2024-05-27 21:04:15,view,384,Fans,130.66,0,instant,0,session_33_24
198,120,2024-01-17 07:27:09,view,90,Water Purifier,151.07,0,instant,1,session_120_17
199,410,2024-08-12 19:58:35,view,1859,Air Conditioner,414.12,0,instant,0,session_410_28
200,284,2024-08-02 18:21:59,delayed_delivery,4549,Water Purifier,104.4,0,delayed,1,session_284_40
201,447,2025-03-24 16:05:57,green_toggle,3159,Mixer Grinder,80.37,0,delayed,1,session_447_49
202,358,2024-07-26 05:32:25,refurbished_purchase,3290,Refrigerator,98.16,1,delayed,1,session_358_50
203,15,2024-09-27 11:14:52,normal_purchase,712,Washing Machine,369.6,1,delayed,0,session_15_42
204,223,2025-05-30 16:28:32,delayed_delivery,2007,Television,152.72,1,delayed,1,session_223_37
205,453,2024-11-04 18:27:55,green_toggle,2803,Washing Machine,247.07,1,instant,1,session_453_49
206,469,2024-12-09 00:25:09,green_toggle,2,Refrigerator,201.2,0,delayed,1,session_469_66
207,377,2025-06-26 23:40:55,view,977,Air Conditioner,362.73,1,instant,1,session_377_64
208,216,2024-02-04 00:56:46,green_toggle,4447,Television,229.33,0,instant,1,session_216_74
209,496,2024-04-09 18:26:28,normal_purchase,977,Mixer Grinder,109.94,1,delayed,0,session_496_41
210,436,2025-05-03 09:32:01,refurbished_purchase,1414,Television,82.19,1,instant,1,session_436_48
211,137,2025-05-03 14:32:50,normal_purchase,1817,Washing Machine,245.7,0,instant,1,session_137_51
212,138,2024-09-09 05:28:12,view,3364,Fans,116.41,0,instant,0,session_138_48
213,182,2025-03-16 08:30:39,normal_purchase,4556,Television,251.99,0,instant,0,session_182_91
214,337,2024-08-06 00:35:17,refurbished_purchase,3220,Fans,16.03,1,instant,1,session_337_87
215,217,2025-02-04 09:05:51,view,339,Water Purifier,191.0,0,instant,0,session_217_18
216,192,2024-09-27 04:25:00,delayed_delivery,1868,Air Conditioner,280.15,0,delayed,1,session_192_8
217,429,2024-07-15 04:25:12,green_toggle,2955,Fans,51.77,0,instant,1,session_429_66
218,336,2024-02-10 20:23:00,view,3281,Refrigerator,390.87,1,instant,0,session_336_46
219,319,2025-05-09 00:27:51,view,2138,Gas Stove,191.08,1,instant,1,session_319_92
220,384,2024-08-05 17:49:40,refurbished_purchase,2993,Cooler,30.14,1,instant,1,session_384_44
221,362,2024-03-08 12:38:55,normal_purchase,911,Washing Machine,349.06,1,instant,1,session_362_80
222,342,2024-06-04 03:00:02,view,178,Water Purifier,108.95,0,instant,1,session_342_64
223,367,2024-07-14 21:41:20,view,4535,Washing Machine,311.32,0,instant,0,session_367_8
224,138,2024-06-22 10:40:40,view,4375,Geyser,170.71,1,delayed,0,session_138_99
225,282,2025-04-20 17:23:29,view,306,Mixer Grinder,91.27,0,instant,0,session_282_96
226,135,2025-04-14 02:51:05,delayed_delivery,3082,Water Purifier,50.26,0,delayed,1,session_135_90
227,440,2024-09-15 19:03:58,green_toggle,463,Washing Machine,270.88,0,instant,1,session_440_68
228,187,2024-11-20 10:06:12,delayed_delivery,3768,Air Conditioner,184.67,0,delayed,1,session_187_6
229,248,2025-01-28 04:29:03,refurbished_purchase,2212,Water Purifier,58.63,1,instant,1,session_248_20
230,36,2025-02-18 16:58:41,delayed_delivery,1080,Geyser,128.25,0,delayed,1,session_36_91
231,236,2025-04-25 23:53:38,green_toggle,3053,Washing Machine,196.9,0,delayed,1,session_236_69
232,405,2024-02-07 05:53:17,view,3018,Refrigerator,376.25,1,instant,0,session_405_65
233,193,2024-03-21 13:41:35,green_toggle,3492,Fans,37.08,1,instant,1,session_193_83
234,436,2024-05-20 20:56:46,view,1134,Air Conditioner,432.1,1,instant,0,session_436_30
235,86,2024-11-30 07:36:08,refurbished_purchase,3429,Fans,18.32,1,delayed,1,session_86_80
236,385,2024-06-02 08:00:18,green_toggle,4130,Fans,100.58,0,delayed,1,session_385_70
237,295,2024-06-25 14:28:57,refurbished_purchase,4592,Washing Machine,118.84,1,delayed,1,session_295_84
238,28,2024-03-17 08:41:22,view,3450,Water Purifier,145.15,0,instant,0,session_28_91
239,16,2024-10-27 05:11:18,normal_purchase,4835,Television,298.41,0,instant,0,session_16_24
240,14,2025-04-07 23:13:33,green_toggle,3183,Television,187.78,0,instant,1,session_14_36
241,401,2024-11-27 16:08:32,refurbished_purchase,2470,Air Conditioner,127.76,1,instant,1,session_401_77
242,302,2024-06-14 20:51:47,normal_purchase,2625,Cooler,214.67,0,instant,0,session_302_14
243,106,2024-10-22 17:00:01,normal_purchase,2141,Television,198.35,0,delayed,0,session_106_23
244,451,2024-06-17 01:56:50,green_toggle,4759,Fans,98.55,0,instant,1,session_451_88
245,339,2025-06-23 16:53:59,refurbished_purchase,4336,Fans,26.67,1,instant,1,session_339_25
246,152,2025-06-07 21:36:34,green_toggle,1530,Washing Machine,160.35,0,instant,1,session_152_29
247,209,2025-04-22 03:29:27,delayed_delivery,4546,Mixer Grinder,81.86,0,delayed,1,session_209_87
248,436,2024-09-05 17:26:14,view,3611,Fans,140.2,0,instant,0,session_436_38
249,219,2024-04-23 04:25:08,green_toggle,2781,Fans,31.1,0,instant,1,session_219_22
250,195,2025-05-20 02:04:42,delayed_delivery,131,Gas Stove,87.27,0,delayed,1,session_195_43
251,398,2024-02-10 11:15:11,view,3009,Fans,98.32,0,instant,0,session_398_81
252,371,2025-04-20 22:26:47,view,3945,Cooler,184.45,0,delayed,0,session_371_58
253,121,2025-06-23 21:17:42,delayed_delivery,1827,Television,157.12,0,delayed,1,session_121_82
254,219,2025-05-26 21:56:17,refurbished_purchase,2623,Water Purifier,33.03,1,delayed,1,session_219_22
255,470,2024-02-24 05:07:05,view,3735,Air Conditioner,379.52,0,instant,0,session_470_97
256,446,2025-04-05 03:57:32,refurbished_purchase,3898,Cooler,57.56,1,instant,1,session_446_69
257,4,2025-02-13 14:16:39,view,4123,Refrigerator,328.22,0,instant,1,session_4_93
258,486,2024-09-12 21:19:22,view,1792,Washing Machine,261.73,0,instant,1,session_486_80
259,93,2024-05-31 22:28:19,view,2754,Refrigerator,336.27,0,instant,1,session_93_3
260,437,2024-10-01 07:51:32,green_toggle,3993,Fans,63.77,0,delayed,1,session_437_26
261,479,2024-02-19 09:33:48,green_toggle,1855,Washing Machine,222.09,0,delayed,1,session_479_12
262,39,2025-05-05 14:57:05,view,1886,Mixer Grinder,146.69,0,instant,0,session_39_84
263,30,2024-04-03 13:32:16,normal_purchase,970,Washing Machine,342.62,0,instant,1,session_30_17
264,294,2024-09-29 08:16:33,normal_purchase,870,Cooler,103.07,0,instant,0,session_294_68
265,192,2024-11-24 14:18:22,view,1602,Fans,86.73,0,delayed,0,session_192_93
266,201,2024-01-14 11:54:48,view,945,Mixer Grinder,104.46,0,instant,0,session_201_77
267,495,2024-05-10 16:44:47,delayed_delivery,3677,Gas Stove,79.29,0,delayed,1,session_495_32
268,192,2024-06-13 21:51:28,delayed_delivery,4920,Refrigerator,184.74,1,delayed,1,session_192_68
269,412,2025-06-07 14:54:15,view,2561,Television,291.58,0,instant,1,session_412_50
270,35,2024-01-16 09:13:56,view,4834,Geyser,140.69,0,delayed,0,session_35_31
271,480,2025-06-09 21:15:35,normal_purchase,4780,Refrigerator,382.93,0,instant,1,session_480_21
272,262,2024-10-09 05:35:21,refurbished_purchase,1642,Air Conditioner,190.03,1,instant,1,session_262_19
273,317,2024-08-01 03:06:30,refurbished_purchase,2437,Cooler,53.67,1,instant,1,session_317_96
274,130,2024-05-26 06:47:51,normal_purchase,2500,Gas Stove,202.34,0,instant,0,session_130_45
275,349,2024-02-06 03:23:05,view,1287,Fans,134.1,0,instant,0,session_349_21
276,324,2025-05-11 01:11:36,green_toggle,616,Washing Machine,215.29,1,instant,1,session_324_54
277,197,2024-01-01 21:11:40,refurbished_purchase,390,Washing Machine,89.0,1,delayed,1,session_197_4
278,189,2025-03-17 21:23:11,view,1103,Water Purifier,172.29,0,instant,0,session_189_93
279,480,2024-03-04 21:28:51,view,147,Air Conditioner,368.52,0,instant,1,session_480_82
280,115,2024-06-26 05:53:17,view,2604,Fans,82.38,1,instant,0,session_115_22
281,260,2024-08-24 03:25:42,green_toggle,2653,Fans,86.08,0,instant,1,session_260_54
282,296,2024-12-05 21:18:37,view,91,Fans,119.7,0,instant,0,session_296_54
283,41,2024-12-20 01:37:45,refurbished_purchase,2224,Air Conditioner,188.37,1,delayed,1,session_41_36
284,280,2025-04-13 02:01:28,normal_purchase,64,Television,161.69,1,delayed,0,session_280_99
285,71,2024-01-12 11:41:23,green_toggle,3223,Water Purifier,113.81,0,instant,1,session_71_5
286,40,2024-09-29 07:43:16,refurbished_purchase,3935,Water Purifier,46.63,1,instant,1,session_40_7
287,489,2024-08-24 17:23:55,view,736,Geyser,130.51,0,instant,0,session_489_71
