itemID,Product,Variety/Size,Brand,price,Production(kg CO2e),Packaging(kg CO2e),Logistics(kg CO2e),Total(kg CO2e),refurbished_available
109,Water Purifier,RO+UV+UF,Blue Star,12226,80.8,8.08,4.04,92.92,0
110,Refrigerator,300 L,Haier,38483,200.0,20.0,25.0,245.0,1
111,Washing Machine,6 kg,Godrej,21609,99.0,9.9,9.9,118.8,0
112,Cooler,50 L,Havells,16398,50.0,5.0,10.0,65.0,0
113,Refrigerator,240 L,LG,28310,176.4,17.64,19.6,213.64,1
114,Television,55 inch,OnePlus,54900,183.6,18.36,35.7,237.66,1
115,Refrigerator,300 L,LG,37542,196.0,19.6,24.5,240.1,0
116,Mixer Grinder,750 W,Philips,3768,73.5,7.35,7.35,88.2,1
117,Refrigerator,500 L,LG,48068,245.0,24.5,39.2,308.7,1
118,Mixer Grinder,750 W,Havells,4539,70.0,7.0,7.0,84.0,1
119,Fans,52 inch,Havells,3693,25.0,2.5,3.0,30.5,0
120,Mixer Grinder,500 W,Morphy Richards,2685,55.0,5.5,5.5,66.0,0
121,Television,43 inch,OnePlus,25812,122.4,12.24,25.5,160.14,0
122,Fans,48 inch,Usha,2280,20.4,2.04,2.04,24.48,0
123,Cooler,30 L,Kenstar,11107,39.6,3.96,9.9,53.46,1
124,Television,55 inch,Samsung,56013,171.0,17.1,33.25,221.35,0
125,Geyser/Water Heater,15 L,Havells,6811,60.0,6.0,6.0,72.0,0
126,Fans,52 inch,Orient,2861,27.25,2.73,3.27,33.25,1
127,Refrigerator,190 L,Haier,23458,150.0,15.0,15.0,180.0,0
128,Air Conditioner,2 Ton,Voltas,51904,300.0,30.0,32.0,362.0,1
129,Refrigerator,240 L,Panasonic,22088,180.0,18.0,20.0,218.0,1
130,Gas Stove/Cooktop,3 Burner,Prestige,4888,40.0,4.0,4.0,48.0,1
131,Television,32 inch,LG,20524,98.0,9.8,19.6,127.4,0
132,Washing Machine,8 kg,Samsung,29627,142.5,14.25,14.25,171.0,1
133,Gas Stove/Cooktop,3 Burner,Bajaj,5338,40.4,4.04,4.04,48.48,1
134,Refrigerator,240 L,Godrej,20395,178.2,17.82,19.8,215.82,0
135,Refrigerator,500 L,Godrej,55454,247.5,24.75,39.6,311.85,1
136,Water Purifier,RO+UV,HUL,14660,60.0,6.0,4.0,70.0,1
137,Geyser/Water Heater,6 L,Havells,2336,40.0,4.0,4.0,48.0,1
138,Cooler,30 L,Havells,10712,40.0,4.0,10.0,54.0,1
139,Refrigerator,340 L,Samsung,37312,209.0,20.9,28.5,258.4,0
140,Television,75 inch,TCL,89710,245.0,24.5,49.0,318.5,1
141,Mixer Grinder,750 W,Havells,5718,70.0,7.0,7.0,84.0,1
142,Geyser/Water Heater,15 L,Racold,4222,61.8,6.18,6.18,74.16,1
143,Geyser/Water Heater,6 L,Havells,2420,40.0,4.0,4.0,48.0,0
144,Refrigerator,240 L,Whirlpool,25267,172.8,17.28,19.2,209.28,1
145,Mixer Grinder,1000 W,Preethi,6984,103.5,10.35,11.5,125.35,0
146,Cooler,30 L,Bajaj,7542,40.4,4.04,10.1,54.54,0
147,Washing Machine,7 kg,Bosch,29009,115.2,11.52,11.52,138.24,1
148,Mixer Grinder,750 W,Morphy Richards,5413,77.0,7.7,7.7,92.4,0
149,Mixer Grinder,1000 W,Morphy Richards,5368,99.0,9.9,11.0,119.9,1
150,Mixer Grinder,500 W,Philips,3492,52.5,5.25,5.25,63.0,0
151,Refrigerator,300 L,Whirlpool,29779,192.0,19.2,24.0,235.2,0
152,Refrigerator,190 L,Panasonic,17391,150.0,15.0,15.0,180.0,1
153,Washing Machine,7 kg,IFB,29026,116.4,11.64,11.64,139.68,0
154,Gas Stove/Cooktop,3 Burner,Butterfly,3321,38.0,3.8,3.8,45.6,0
155,Gas Stove/Cooktop,4 Burner,Pigeon,5524,48.5,4.85,4.85,58.2,0
156,Television,43 inch,Sony,29865,144.0,14.4,30.0,188.4,1
157,Refrigerator,240 L,Godrej,27424,178.2,17.82,19.8,215.82,1
158,Air Conditioner,1 Ton,Blue Star,38281,202.0,20.2,25.25,247.45,1
159,Water Purifier,RO+UV,Kent,8266,60.0,6.0,4.0,70.0,0
160,Television,50 inch,Samsung,47639,142.5,14.25,28.5,185.25,0
161,Mixer Grinder,500 W,Havells,3030,50.0,5.0,5.0,60.0,1
162,Mixer Grinder,500 W,Morphy Richards,2643,55.0,5.5,5.5,66.0,1
163,Refrigerator,190 L,Panasonic,19352,150.0,15.0,15.0,180.0,1
164,Television,43 inch,Xiaomi,30074,123.6,12.36,25.75,161.71,0
165,Geyser/Water Heater,6 L,Havells,3046,40.0,4.0,4.0,48.0,0
166,Mixer Grinder,750 W,Havells,4415,70.0,7.0,7.0,84.0,0
167,Air Conditioner,2 Ton,Daikin,66730,285.0,28.5,30.4,343.9,1
168,Cooler,30 L,Symphony,8858,44.0,4.4,11.0,59.4,1
169,Television,55 inch,Samsung,61153,171.0,17.1,33.25,221.35,0
170,Geyser/Water Heater,15 L,Crompton,4856,60.0,6.0,6.0,72.0,1
171,Mixer Grinder,500 W,Philips,2675,52.5,5.25,5.25,63.0,1
172,Television,75 inch,OnePlus,90250,255.0,25.5,51.0,331.5,1
173,Cooler,30 L,Symphony,8329,44.0,4.4,11.0,59.4,0
174,Mixer Grinder,1000 W,Havells,6830,90.0,9.0,10.0,109.0,1
175,Cooler,30 L,Bajaj,10837,40.4,4.04,10.1,54.54,0
176,Water Purifier,RO+UV+UF,Livpure,17630,84.0,8.4,4.2,96.6,0
177,Fans,48 inch,Orient,2023,21.8,2.18,2.18,26.16,1
178,Washing Machine,6 kg,Godrej,17752,99.0,9.9,9.9,118.8,0
179,Water Purifier,RO+UV+UF,Livpure,13241,84.0,8.4,4.2,96.6,1
180,Television,55 inch,LG,68810,176.4,17.64,34.3,228.34,0
181,Water Purifier,RO+UV+UF,HUL,14616,80.0,8.0,4.0,92.0,1
182,Gas Stove/Cooktop,3 Burner,Butterfly,4906,38.0,3.8,3.8,45.6,0
183,Refrigerator,240 L,Panasonic,27316,180.0,18.0,20.0,218.0,1
184,Refrigerator,340 L,Samsung,47118,209.0,20.9,28.5,258.4,1
185,Washing Machine,7 kg,Godrej,24353,118.8,11.88,11.88,142.56,0
186,Television,32 inch,LG,19707,98.0,9.8,19.6,127.4,0
187,Mixer Grinder,1000 W,Panasonic,4920,90.0,9.0,10.0,109.0,1
188,Television,50 inch,Vu,45488,165.0,16.5,33.0,214.5,1
189,Refrigerator,300 L,Godrej,30004,198.0,19.8,24.75,242.55,1
190,Refrigerator,240 L,Samsung,27053,171.0,17.1,19.0,207.1,1
191,Fans,52 inch,Orient,3950,27.25,2.73,3.27,33.25,0
192,Fans,48 inch,Orient,2077,21.8,2.18,2.18,26.16,0
193,Gas Stove/Cooktop,4 Burner,Prestige,6374,50.0,5.0,5.0,60.0,1
194,Cooler,20 L,Crompton,8661,30.0,3.0,8.0,41.0,1
195,Refrigerator,340 L,Samsung,48002,209.0,20.9,28.5,258.4,0
196,Cooler,50 L,Havells,15237,50.0,5.0,10.0,65.0,1
197,Geyser/Water Heater,6 L,Bajaj,2368,40.4,4.04,4.04,48.48,0
198,Cooler,20 L,Crompton,6233,30.0,3.0,8.0,41.0,0
199,Cooler,50 L,Kenstar,18049,49.5,4.95,9.9,64.35,1
200,Refrigerator,500 L,Panasonic,42338,250.0,25.0,40.0,315.0,0
201,Television,75 inch,Sony,112924,300.0,30.0,60.0,390.0,0
202,Refrigerator,500 L,LG,47815,245.0,24.5,39.2,308.7,0
203,Gas Stove/Cooktop,4 Burner,Butterfly,5343,47.5,4.75,4.75,57.0,0
204,Gas Stove/Cooktop,3 Burner,Pigeon,4240,38.8,3.88,3.88,46.56,1
205,Air Conditioner,2 Ton,Voltas,57246,300.0,30.0,32.0,362.0,1
206,Air Conditioner,1 Ton,LG,37651,196.0,19.6,24.5,240.1,0
207,Mixer Grinder,750 W,Bajaj,4243,70.7,7.07,7.07,84.84,0
208,Gas Stove/Cooktop,3 Burner,Pigeon,5311,38.8,3.88,3.88,46.56,1
209,Television,50 inch,OnePlus,57890,153.0,15.3,30.6,198.9,1
210,Gas Stove/Cooktop,3 Burner,Bajaj,4430,40.4,4.04,4.04,48.48,1
211,Television,55 inch,OnePlus,69488,183.6,18.36,35.7,237.66,0
212,Television,32 inch,LG,25713,98.0,9.8,19.6,127.4,0
213,Television,55 inch,Vu,53171,198.0,19.8,38.5,256.3,1
214,Television,50 inch,Xiaomi,49242,154.5,15.45,30.9,200.85,0
215,Geyser/Water Heater,6 L,AO Smith,2510,50.0,5.0,5.0,60.0,0
216,Air Conditioner,1 Ton,Daikin,25248,190.0,19.0,23.75,232.75,0
217,Mixer Grinder,500 W,Havells,2514,50.0,5.0,5.0,60.0,0
218,Cooler,50 L,Symphony,17579,55.0,5.5,11.0,71.5,0
219,Television,65 inch,Vu,71175,242.0,24.2,44.0,310.2,1
220,Gas Stove/Cooktop,2 Burner,Sunflame,3368,28.5,2.85,2.85,34.2,1
221,Washing Machine,9 kg,Whirlpool,31437,172.8,17.28,17.28,207.36,0
222,Refrigerator,340 L,Panasonic,42484,220.0,22.0,30.0,272.0,0
223,Television,32 inch,OnePlus,24429,102.0,10.2,20.4,132.6,0
224,Water Purifier,RO+UV+UF,HUL,19692,80.0,8.0,4.0,92.0,1
225,Television,50 inch,Sony,37822,180.0,18.0,36.0,234.0,0
226,Television,50 inch,Xiaomi,36715,154.5,15.45,30.9,200.85,1
227,Refrigerator,500 L,Samsung,53197,237.5,23.75,38.0,299.25,1
228,Air Conditioner,2 Ton,Voltas,47039,300.0,30.0,32.0,362.0,0
229,Refrigerator,190 L,Haier,17227,150.0,15.0,15.0,180.0,1
230,Television,43 inch,LG,27505,117.6,11.76,24.5,153.86,0
231,Washing Machine,7 kg,LG,26720,117.6,11.76,11.76,141.12,1
232,Washing Machine,7 kg,IFB,29185,116.4,11.64,11.64,139.68,1
233,Mixer Grinder,1000 W,Morphy Richards,7703,99.0,9.9,11.0,119.9,1
234,Water Purifier,RO+UV+UF,Kent,18954,80.0,8.0,4.0,92.0,0
235,Geyser/Water Heater,10 L,V-Guard,5170,55.0,5.5,5.5,66.0,1
236,Mixer Grinder,750 W,Panasonic,3224,70.0,7.0,7.0,84.0,0
237,Fans,48 inch,Bajaj,2335,20.2,2.02,2.02,24.24,1
238,Refrigerator,340 L,Whirlpool,31609,211.2,21.12,28.8,261.12,0
239,Refrigerator,300 L,Haier,35938,200.0,20.0,25.0,245.0,1
240,Geyser/Water Heater,10 L,Havells,3249,50.0,5.0,5.0,60.0,1
241,Geyser/Water Heater,6 L,Racold,3853,41.2,4.12,4.12,49.44,1
242,Washing Machine,6 kg,Bosch,24069,96.0,9.6,9.6,115.2,1
243,Television,43 inch,Samsung,27732,114.0,11.4,23.75,149.15,0
244,Mixer Grinder,750 W,Philips,4039,73.5,7.35,7.35,88.2,0
245,Television,43 inch,Xiaomi,32063,123.6,12.36,25.75,161.71,1
246,Television,65 inch,Xiaomi,86330,226.6,22.66,41.2,290.46,0
247,Gas Stove/Cooktop,4 Burner,Pigeon,4254,48.5,4.85,4.85,58.2,1
248,Washing Machine,7 kg,Bosch,21632,115.2,11.52,11.52,138.24,0
249,Washing Machine,8 kg,Godrej,36161,148.5,14.85,14.85,178.2,0
250,Refrigerator,190 L,Panasonic,18181,150.0,15.0,15.0,180.0,1
251,Geyser/Water Heater,15 L,AO Smith,4356,75.0,7.5,7.5,90.0,0
252,Gas Stove/Cooktop,4 Burner,Bajaj,6315,50.5,5.05,5.05,60.6,0
253,Gas Stove/Cooktop,2 Burner,Sunflame,2748,28.5,2.85,2.85,34.2,1
254,Refrigerator,190 L,Whirlpool,19237,144.0,14.4,14.4,172.8,0
255,Television,50 inch,Sony,59350,180.0,18.0,36.0,234.0,0
256,Water Purifier,RO+UV,Blue Star,13271,60.6,6.06,4.04,70.7,1
257,Water Purifier,RO+UV,Aquaguard,8485,61.2,6.12,4.08,71.4,0
258,Washing Machine,8 kg,Godrej,35372,148.5,14.85,14.85,178.2,0
259,Geyser/Water Heater,6 L,Bajaj,2850,40.4,4.04,4.04,48.48,1
260,Refrigerator,340 L,Godrej,39804,217.8,21.78,29.7,269.28,0
261,Geyser/Water Heater,6 L,Crompton,3839,40.0,4.0,4.0,48.0,1
262,Water Purifier,RO+UV+UF,Blue Star,10446,80.8,8.08,4.04,92.92,0
263,Mixer Grinder,1000 W,Morphy Richards,5402,99.0,9.9,11.0,119.9,1
264,Cooler,50 L,Voltas,10862,50.0,5.0,10.0,65.0,1
265,Television,50 inch,Sony,44011,180.0,18.0,36.0,234.0,0
266,Television,55 inch,TCL,50246,176.4,17.64,34.3,228.34,0
267,Washing Machine,6 kg,LG,19254,98.0,9.8,9.8,117.6,1
268,Television,50 inch,LG,43848,147.0,14.7,29.4,191.1,0
269,Fans,52 inch,Crompton,3251,25.0,2.5,3.0,30.5,0
270,Cooler,20 L,Voltas,8015,30.0,3.0,8.0,41.0,1
271,Refrigerator,240 L,Panasonic,29240,180.0,18.0,20.0,218.0,1
272,Air Conditioner,2 Ton,Samsung,41990,285.0,28.5,30.4,343.9,0
273,Television,55 inch,OnePlus,62238,183.6,18.36,35.7,237.66,1
274,Washing Machine,6 kg,Samsung,22509,95.0,9.5,9.5,114.0,0
275,Television,50 inch,Sony,48605,180.0,18.0,36.0,234.0,1
276,Washing Machine,6 kg,Godrej,24968,99.0,9.9,9.9,118.8,0
277,Water Purifier,RO+UV+UF,Pureit,17557,78.4,7.84,3.92,90.16,1
278,Washing Machine,8 kg,Samsung,32491,142.5,14.25,14.25,171.0,0
279,Cooler,20 L,Havells,6167,30.0,3.0,8.0,41.0,1
280,Refrigerator,300 L,LG,29847,196.0,19.6,24.5,240.1,0
281,Water Purifier,RO+UV+UF,Kent,11392,80.0,8.0,4.0,92.0,1
282,Mixer Grinder,1000 W,Preethi,4423,103.5,10.35,11.5,125.35,1
283,Refrigerator,190 L,LG,23789,147.0,14.7,14.7,176.4,1
284,Gas Stove/Cooktop,2 Burner,Butterfly,3701,28.5,2.85,2.85,34.2,1
285,Cooler,30 L,Bajaj,10549,40.4,4.04,10.1,54.54,0
286,Gas Stove/Cooktop,3 Burner,Butterfly,4527,38.0,3.8,3.8,45.6,0
287,Geyser/Water Heater,10 L,AO Smith,3318,62.5,6.25,6.25,75.0,1
288,Washing Machine,9 kg,Godrej,35535,178.2,17.82,17.82,213.84,1
289,Water Purifier,RO+UV+UF,HUL,17959,80.0,8.0,4.0,92.0,1
290,Cooler,20 L,Havells,7288,30.0,3.0,8.0,41.0,0
291,Refrigerator,340 L,Whirlpool,38927,211.2,21.12,28.8,261.12,0
292,Fans,48 inch,Havells,2033,20.0,2.0,2.0,24.0,1
293,Television,50 inch,LG,37961,147.0,14.7,29.4,191.1,1
294,Fans,48 inch,Bajaj,2723,20.2,2.02,2.02,24.24,1
295,Washing Machine,8 kg,Samsung,31381,142.5,14.25,14.25,171.0,1
296,Refrigerator,240 L,Panasonic,29493,180.0,18.0,20.0,218.0,0
297,Mixer Grinder,750 W,Philips,4877,73.5,7.35,7.35,88.2,1
298,Refrigerator,340 L,Whirlpool,31825,211.2,21.12,28.8,261.12,0
299,Geyser/Water Heater,10 L,V-Guard,3944,55.0,5.5,5.5,66.0,0
300,Cooler,30 L,Bajaj,10944,40.4,4.04,10.1,54.54,1
301,Television,75 inch,OnePlus,101253,255.0,25.5,51.0,331.5,1
302,Cooler,20 L,Havells,8024,30.0,3.0,8.0,41.0,1
303,Washing Machine,7 kg,Samsung,21241,114.0,11.4,11.4,136.8,0
304,Gas Stove/Cooktop,3 Burner,Sunflame,4262,38.0,3.8,3.8,45.6,0
305,Television,55 inch,OnePlus,57427,183.6,18.36,35.7,237.66,0
306,Geyser/Water Heater,6 L,Crompton,2502,40.0,4.0,4.0,48.0,0
307,Air Conditioner,1 Ton,Samsung,33586,190.0,19.0,23.75,232.75,0
308,Gas Stove/Cooktop,3 Burner,Prestige,4207,40.0,4.0,4.0,48.0,0
309,Mixer Grinder,1000 W,Panasonic,5854,90.0,9.0,10.0,109.0,1
310,Geyser/Water Heater,6 L,Bajaj,3185,40.4,4.04,4.04,48.48,1
311,Air Conditioner,1.5 Ton,LG,40455,245.0,24.5,24.5,294.0,1
312,Television,32 inch,Xiaomi,22912,103.0,10.3,20.6,133.9,1
313,Gas Stove/Cooktop,2 Burner,Pigeon,2753,29.1,2.91,2.91,34.92,0
314,Television,55 inch,LG,59743,176.4,17.64,34.3,228.34,1
315,Mixer Grinder,750 W,Preethi,4837,80.5,8.05,8.05,96.6,0
316,Air Conditioner,1 Ton,LG,31210,196.0,19.6,24.5,240.1,0
317,Fans,52 inch,Atomberg,2400,26.25,2.62,3.15,32.02,1
318,Television,55 inch,TCL,56612,176.4,17.64,34.3,228.34,0
319,Water Purifier,RO+UV+UF,Livpure,11139,84.0,8.4,4.2,96.6,1
320,Fans,48 inch,Havells,1832,20.0,2.0,2.0,24.0,1
321,Gas Stove/Cooktop,3 Burner,Elica,4880,48.0,4.8,4.8,57.6,0
322,Refrigerator,500 L,Whirlpool,41721,240.0,24.0,38.4,302.4,0
323,Mixer Grinder,500 W,Havells,2324,50.0,5.0,5.0,60.0,0
324,Television,50 inch,Samsung,45330,142.5,14.25,28.5,185.25,1
325,Washing Machine,8 kg,Samsung,34355,142.5,14.25,14.25,171.0,0
326,Refrigerator,340 L,Haier,45808,220.0,22.0,30.0,272.0,0
327,Television,43 inch,Sony,34936,144.0,14.4,30.0,188.4,1
328,Washing Machine,9 kg,Bosch,32837,172.8,17.28,17.28,207.36,0
329,Mixer Grinder,1000 W,Preethi,7229,103.5,10.35,11.5,125.35,0
330,Fans,48 inch,Havells,2838,20.0,2.0,2.0,24.0,0
331,Mixer Grinder,750 W,Philips,5507,73.5,7.35,7.35,88.2,1
332,Mixer Grinder,1000 W,Panasonic,6294,90.0,9.0,10.0,109.0,0
333,Air Conditioner,2 Ton,Voltas,46621,300.0,30.0,32.0,362.0,1
334,Fans,52 inch,Orient,2135,27.25,2.73,3.27,33.25,0
335,Mixer Grinder,500 W,Philips,3415,52.5,5.25,5.25,63.0,0
336,Geyser/Water Heater,6 L,Crompton,2935,40.0,4.0,4.0,48.0,1
337,Refrigerator,190 L,Whirlpool,17217,144.0,14.4,14.4,172.8,1
338,Mixer Grinder,1000 W,Morphy Richards,6399,99.0,9.9,11.0,119.9,1
339,Geyser/Water Heater,15 L,V-Guard,6263,66.0,6.6,6.6,79.2,0
340,Air Conditioner,1 Ton,Samsung,30699,190.0,19.0,23.75,232.75,0
341,Washing Machine,7 kg,Samsung,25679,114.0,11.4,11.4,136.8,1
342,Air Conditioner,1 Ton,Voltas,33304,200.0,20.0,25.0,245.0,0
343,Washing Machine,8 kg,Bosch,39687,144.0,14.4,14.4,172.8,0
344,Mixer Grinder,500 W,Bajaj,3279,50.5,5.05,5.05,60.6,1
345,Television,65 inch,Sony,71528,264.0,26.4,48.0,338.4,1
